exp_name,prompt_type,llm,input_source,layer,question_type,question_id,bloom_original
exp1a,common,anthropic,script,3,,,
exp1a,common,anthropic,script,5,,,
exp1a,complex,anthropic,script,1,,,
exp1a,complex,anthropic,script,3,,,
exp1a,common,anthropic,tanenbaum,4,,,
exp1a,common,anthropic,tanenbaum,7,,,
exp1a,complex,anthropic,tanenbaum,2,,,
exp1a,complex,anthropic,tanenbaum,3,,,
exp1a,common,anthropic,transcript,2,,,
exp1a,common,anthropic,transcript,5,,,
exp1a,complex,anthropic,transcript,1,,,
exp1a,complex,anthropic,transcript,5,,,
exp1a,common,deepseek,script,2,,,
exp1a,common,deepseek,script,3,,,
exp1a,complex,deepseek,script,1,,,
exp1a,complex,deepseek,script,4,,,
exp1a,common,deepseek,tanenbaum,4,,,
exp1a,common,deepseek,tanenbaum,5,,,
exp1a,complex,deepseek,tanenbaum,3,,,
exp1a,complex,deepseek,tanenbaum,7,,,
exp1a,common,deepseek,transcript,2,,,
exp1a,common,deepseek,transcript,6,,,
exp1a,complex,deepseek,transcript,2,,,
exp1a,complex,deepseek,transcript,7,,,
exp1a,common,google,script,2,,,
exp1a,common,google,script,5,,,
exp1a,complex,google,script,2,,,
exp1a,complex,google,script,5,,,
exp1a,common,google,tanenbaum,2,,,
exp1a,common,google,tanenbaum,4,,,
exp1a,complex,google,tanenbaum,2,,,
exp1a,complex,google,tanenbaum,3,,,
exp1a,common,google,transcript,2,,,
exp1a,common,google,transcript,4,,,
exp1a,complex,google,transcript,1,,,
exp1a,complex,google,transcript,3,,,
exp1a,common,openai,script,2,,,
exp1a,common,openai,script,3,,,
exp1a,complex,openai,script,2,,,
exp1a,complex,openai,script,5,,,
exp1a,common,openai,tanenbaum,1,,,
exp1a,common,openai,tanenbaum,2,,,
exp1a,complex,openai,tanenbaum,2,,,
exp1a,complex,openai,tanenbaum,5,,,
exp1a,common,openai,transcript,1,,,
exp1a,common,openai,transcript,4,,,
exp1a,complex,openai,transcript,5,,,
exp1a,complex,openai,transcript,6,,,
