input_source,layer,sample_id,relevance,clarity,answerability,challenging,value,language,correctness,answer_problems,comments
script,3,1,9,8,8,5,8,8,9,,
script,5,2,9,8,7,6,8,7,8,,
script,1,3,7,2,1,9,1,1,3,1,"""Die Daten werden korrekt codiert und physikalisch transportiert"" lässt mich vermuten, dass die gesamte Übertragung keine Fehler beinhaltet hat."
script,3,4,8,5,7,4,6,4,8,,
tanenbaum,4,5,5,7,7,5,4,7,9,,
tanenbaum,7,6,6,8,9,3,3,7,9,,"""ist gemäß des Textes korrekt"" - normalerweise wird ja kein Text gegeben sein?"
tanenbaum,2,7,4,1,4,9,2,2,4,2,Sehr verschachtelte Antworten. Frage 3 ist in der ersten Hälfte richtig und in der zweiten nicht mehr. Sehr schwer zu verstehen.
tanenbaum,3,8,8,6,8,6,8,8,3,3,Ich denke Antwort 3 sollte korrekt sein?
transcript,2,9,9,9,9,5,8,9,9,,
transcript,5,10,9,9,9,2,7,8,9,,
transcript,1,11,6,4,7,7,5,4,4,4,
transcript,5,12,6,4,6,7,5,7,3,5,
script,2,13,9,9,9,4,7,8,9,,
script,3,14,8,9,8,5,7,8,9,,
script,1,15,4,8,9,2,2,7,8,,"""Begründe präzise anhand der Funktionsweise von Bluetooth"" - irrsinnige Anforderunge beim Mulitple Choice."
script,4,16,4,2,2,8,2,7,1,6,
tanenbaum,4,17,3,4,3,6,1,9,9,,
tanenbaum,5,18,7,7,7,2,3,7,7,,
tanenbaum,3,19,7,8,9,1,2,7,8,,
tanenbaum,7,20,6,7,9,2,3,7,9,,
transcript,2,21,8,8,8,6,7,8,9,,
transcript,6,22,8,8,8,5,7,8,9,,
transcript,2,23,4,2,3,8,3,5,7,,
transcript,7,24,4,1,2,7,3,3,5,,
script,2,25,8,8,8,6,3,4,9,,Persönliche Meinung: Fragen mit einem 'nicht' sind etwas arschig.
script,5,26,8,9,9,5,8,8,9,,
script,2,27,6,3,7,5,3,2,8,,
script,5,28,6,3,3,7,3,3,4,7,"Ich bin mir ziemlich sicher, dass die richtige Antwort nicht richtig ist."
tanenbaum,2,29,8,8,8,4,8,9,9,,
tanenbaum,4,30,8,7,8,6,6,7,9,,
tanenbaum,2,31,6,1,1,10,0,3,7,,
tanenbaum,3,32,8,6,6,5,4,6,8,,
transcript,2,33,8,8,8,5,8,8,9,,
transcript,4,34,9,9,8,6,9,9,9,,
transcript,1,35,4,3,2,8,1,2,3,8,Die richtigen Antworten hat er sich doch ausgedacht
transcript,3,36,7,6,6,6,4,6,7,,
script,2,37,9,9,9,6,9,9,9,,
script,3,38,9,9,9,6,9,9,9,,
script,2,39,9,9,9,4,9,9,9,,
script,5,40,3,7,3,5,2,8,2,9,Keine Aufgabe des Session layers.
tanenbaum,1,41,8,8,8,2,3,8,9,,
tanenbaum,2,42,9,9,8,5,8,8,9,,
tanenbaum,2,43,8,8,3,8,3,7,6,,Die Antwort ist viel zu allgemein. Für den Inhalt im Script würde man so eine Frage nicht stellen.
tanenbaum,5,44,3,4,3,8,3,8,3,,"Auch hier glaub ich nicht, dass dieser Anwendungsfall was im Session Layer zu suchen hat."
transcript,1,45,9,9,9,5,8,8,9,,
transcript,4,46,9,9,9,5,8,8,9,,
transcript,5,47,3,3,3,4,2,6,2,10,Keine Aufgaben des Session Layers IMO
transcript,6,48,8,8,8,6,7,8,9,,
,,,,,,,,,,,
,,,,,,,,,,,

