"sample_id","relevance","clarity","answerability","challenging","value","language","bloom_rating","answer_problems","comments"
1,10,10,8,6,10,10,2,,
2,10,6,8,8,6,5,4,,
3,8,8,6,6,8,5,4,,
4,10,4,8,8,8,3,4,,"Viel zu kompliziert formuliert, auch durch die Fremdwörter. "
5,10,8,10,4,8,10,2,,
6,8,10,8,6,10,8,2,,
7,10,6,10,8,6,3,2,,"Operatoren sollten verständlich und nicht so kompliziert hochtrabend sein. Für den Unterricht komplett ungeeignet"
8,10,8,8,8,10,10,4,,
9,8,8,8,2,8,10,2,,"Operator fehlt, was soll man mit der richtigen Aussage machen?"
10,10,8,10,2,8,10,2,,
11,8,8,8,8,6,7,4,,"Die Frage wird durch eine sehr lange Einleitung eingeleitet, was ich leider etwas verwirrend finde. Sie könnte präziser formuliert sein."
12,8,8,6,6,8,5,4,,"Schwerfällige Formulierung macht das Verstehen unnötig schwer"
13,10,8,10,4,6,10,2,,"Übersichtliche Frage, jedoch benötigt man kurz zeit um genau zu verstehen, was von einem verlangt wird obwohl die Aufgabe an sich nicht so schwer ist."
14,10,10,8,6,8,10,2,,
15,8,2,6,10,6,3,"(4;5;6)",,"Zu lang, zu viele Fachtermini, macht gar keine Lust das zu lesen oder zu beantwortet - empfinde ich als sehr demotivierend. Mehrere Operatoren könnten dazu führen, dass man den ersten Teil der Aufgabe vergisst. Dadurch auch keine eindeutige Bloom-Zuordnung"
16,6,8,6,8,8,7,"(4;5)",,"Unterschiedliche Teilaufgaben führen zu unterschiedlichen Bloo-ratings; jedoch gut formulierte Frage."
