input_source,layer,sample_id,relevance,clarity,answerability,challenging,value,language,manipulation_handling,answer_problems,comments
script,2,1,9,9,9,3,9,9,0,,
script,3,2,8,9,9,4,9,9,0,,
script,4,3,5,4,4,6,7,4,4,,
script,5,4,8,7,4,6,8,8,7,,
script,5,5,9,8,8,4,7,8,0,,
script,6,6,3,7,2,7,7,4,3,,
script,3,7,4,5,4,7,7,5,5,,"Lokalisierung richtig, Zufallspfad falsch. Komisch, weil beides im Text als richtig angegeben wird."
script,7,8,8,8,8,5,8,8,0,,
script,4,9,8,8,8,6,8,8,1,,
script,6,10,8,8,6,7,6,4,7,,
script,4,11,7,8,4,8,6,3,8,,
script,5,12,7,6,6,9,6,7,9,,
script,2,13,8,9,9,3,8,9,0,,
script,5,14,8,8,9,5,7,8,0,,
script,5,15,1,1,1,9,0,2,3,,
script,6,16,3,2,2,8,2,2,3,,Sehr schwer zu verstehen was gemeint ist.
