llm,prompt_type,input_source,layer
anthropic,common,script,3
anthropic,common,script,5
anthropic,complex,script,1
anthropic,complex,script,3
anthropic,common,tanenbaum,4
anthropic,common,tanenbaum,7
anthropic,complex,tanenbaum,2
anthropic,complex,tanenbaum,3
anthropic,common,transcript,2
anthropic,common,transcript,5
anthropic,complex,transcript,1
anthropic,complex,transcript,5
deepseek,common,script,2
deepseek,common,script,3
deepseek,complex,script,1
deepseek,complex,script,4
deepseek,common,tanenbaum,4
deepseek,common,tanenbaum,5
deepseek,complex,tanenbaum,3
deepseek,complex,tanenbaum,7
deepseek,common,transcript,2
deepseek,common,transcript,6
deepseek,complex,transcript,2
deepseek,complex,transcript,7
google,common,script,2
google,common,script,5
google,complex,script,2
google,complex,script,5
google,common,tanenbaum,2
google,common,tanenbaum,4
google,complex,tanenbaum,2
google,complex,tanenbaum,3
google,common,transcript,2
google,common,transcript,4
google,complex,transcript,1
google,complex,transcript,3
openai,common,script,2
openai,common,script,3
openai,complex,script,2
openai,complex,script,5
openai,common,tanenbaum,1
openai,common,tanenbaum,2
openai,complex,tanenbaum,2
openai,complex,tanenbaum,5
openai,common,transcript,1
openai,common,transcript,4
openai,complex,transcript,5
openai,complex,transcript,6
