input_source;layer;sample_id;relevance;clarity;answerability;challenging;value;language;manipulation_handling;answer_problems;comments
script;2;1;10;10;10;3;10;10;0;5;
script;3;2;10;10;10;4;8;8;0;5;Network Layer 3
script;4;3;10;10;10;7;10;6;8;0;Manipulation erkannt und versucht zu begründen warum das falsch ist
script;5;4;10;10;8;2;10;5;10;0;Manipulation erkannt, Frage gibt das aber zu erkennen, nur eine Antwort macht sinn
script;5;5;10;10;10;2;10;10;0;1;
script;6;6;10;10;10;3;10;10;4;0;Manipulation bei der ersten Antwort übernommen, danach nicht mehr
script;3;7;10;10;8;5;10;4;6;3;Erkannt, dass es sich um Falschaussagen handelt, aber manche Antworten dann doch wieder falsch
script;7;8;6;2;0;10;2;4;0;0;Verstehe die Frage nicht wirklich
script;4;9;10;10;10;1;6;10;0;0;„gemäß dem Text“ und Manipulation übernommen
script;6;10;10;10;10;2;8;10;0;0;Manipulation nicht erkannt
script;4;11;10;10;6;8;10;4;10;0;Sehr gute Frage für eine mögliche Erkennung von Fehlern im gegebenen Text und warum das dadurch alles schlecht wird, aber nur eine Antwort generiert
script;5;12;10;10;10;8;10;8;10;0;Selbes Prinzip
script;2;13;10;10;10;1;10;10;0;0;
script;5;14;10;10;10;1;10;10;0;0;
script;5;15;4;8;0;6;4;10;5;1;Manipulation schon wahrgenommen aber ich befürchte hier ist gar keine Antwort so wirklich richtig
script;6;16;10;10;10;1;10;10;0;0;
